id,search_term,dismissed_at,created_at
01487f8b-3e93-4482-9a8e-19514f5d521a,Yveltal GX Secret 137/131 Forbidden Light holo,2025-10-31 13:38:16.127+00,2025-10-31 13:38:15.794278+00
018a9f1f-20d7-4c90-a5eb-f550475a5318,Iris 101 Full Art 101/101 Plasma Blast holo,2025-10-31 13:42:37.402+00,2025-10-31 13:42:37.106874+00
01be39f0-84d2-4169-8448-41fc0521b166,Dragapult Rebel Clash,2025-10-29 19:08:40.723+00,2025-10-29 19:08:41.632072+00
021a57f0-600e-4e7b-b3f1-bb1e8d2f6173,Garchomp C Supreme Victors 60 reverse holo,2025-10-30 15:33:52.326+00,2025-10-30 15:33:51.44262+00
02d61dc1-eb86-4ad3-a842-3ec370442ac2,Jigglypuff 65/112 FireRed & LeafGreen reverse holo,2025-11-16 05:14:49.822+00,2025-11-16 05:14:50.016039+00
040aa548-8e39-4a05-8b9a-51c806704451,"Kyurem EX 96 Full Art ""96/99"" Next Destinies holo",2025-12-06 17:50:29.137+00,2025-12-06 17:50:30.352206+00
049984a7-ea67-4e1e-b68a-b3e002d0ab82,Garchomp Supreme Victors 5 reverse holo,2025-10-29 13:17:44.306+00,2025-10-29 13:17:45.490618+00
04c965e1-7663-4afd-93a3-52dddfd2a0dd,Lapras ex 99/109 Ruby and Sapphire holo,2025-10-31 12:06:21.03+00,2025-10-31 12:06:20.931993+00
050e69e3-1d00-48a4-9410-d9c79d91b5b2,Arcanine 1/111 Rising Rivals reverse holo,2025-10-30 15:39:37.294+00,2025-10-30 15:39:36.486463+00
0556d221-8071-46ba-9a77-4bb87cb3a9cc,Dark Slowking 9/109 Team Rocket Returns reverse holo,2025-10-30 12:57:48.57+00,2025-10-30 12:57:47.956749+00
05a147c7-9c7a-496c-8b31-064774668cb3,Dragalge Prerelease Staff XY Promos XY10 holo,2025-10-29 03:06:07.415+00,2025-10-29 03:06:07.459116+00
05fb519a-ebac-4659-9c3a-90eb8908d528,"Unown ? ""?/28"" Unseen Forces holo",2025-12-06 18:31:25.134+00,2025-12-06 18:31:26.528013+00
0605dfce-a7d7-49a4-8215-3e556ec1ffb7,Delcatty ex 91/100 Crystal Guardians holo,2025-10-31 12:51:21.791+00,2025-10-31 12:51:21.524337+00
0647d94e-a300-4e86-a3bb-dbc7bec50328,Munchlax 70 70/111 Rising Rivals reverse holo,2025-10-30 15:10:45.288+00,2025-10-30 15:10:44.798316+00
0699f937-6ba1-4c28-ba9f-a54a68e3295a,"Team Magma's Groudon ""9/95"" Team Magma vs Team Aqua reverse holo",2025-12-06 18:24:29.039+00,2025-12-06 18:24:30.711177+00
0799c8eb-4bf9-4ec6-a2ed-28ce20963280,"Dragonite Delta Species ""3/113"" Delta Species reverse holo",2025-11-30 21:35:46.679+00,2025-11-30 21:35:45.597021+00
07d30554-e31e-4adf-b0dc-0041de9bac6f,Pikachu 94/123 Mysterious Treasures reverse holo,2025-10-29 13:45:52.311+00,2025-10-29 13:45:53.329204+00
086274a8-b943-4b13-9c1b-264d6a7bddbe,All Night Party 96/122 BREAKpoint reverse holo,2025-10-29 13:00:39.616+00,2025-10-29 13:00:40.882731+00
08845d74-bf50-42f1-be17-e9b0e8efdc9f,Typhlosion Delta Species 12/101 Dragon Frontiers reverse holo,2025-10-31 12:51:24.613+00,2025-10-31 12:51:24.339079+00
08a69b1b-eb8e-4374-a47f-0d77fb3af417,"Magmortar Lv.X ""123/123"" Mysterious Treasures holo",2026-03-10 20:06:13.302+00,2026-03-10 20:06:14.153183+00
08c5a7f2-9774-44e4-8c13-587157bbe1d0,Unown N N/28 Unseen Forces holo,2025-11-16 05:30:18.067+00,2025-11-16 05:30:18.332282+00
09780edc-37e3-443e-95b6-4a162836f1ee,Nidoqueen Prerelease Staff SM Promos SM160 holo,2025-10-31 11:52:51.184+00,2025-10-31 11:52:50.989398+00
09fff5c6-aeb7-4446-9866-75580a09ba1c,Forretress 6/115 Unseen Forces reverse holo,2025-10-29 18:57:18.783+00,2025-10-29 18:57:20.089264+00
0a6a19b6-7668-4c7c-bcfb-7498732a3395,Magnezone LV.X 142/146 Legends Awakened holo,2025-10-31 11:51:53.446+00,2025-10-31 11:51:54.052434+00
0ac6df09-95bd-43e4-b568-344f34e7fd84,Ancient Mew Japanese Exclusive Print Miscellaneous Cards & Products 1 holo,2025-10-29 19:02:27.351+00,2025-10-29 19:02:28.062939+00
0b5ed7a0-e753-45b7-8b64-7e78a7e6e922,Ultra Necrozma GX  Jumbo Cards SM126 holo,2025-10-29 19:33:16.877+00,2025-10-29 19:33:17.459947+00
0ba41813-0e8c-4eba-be22-fa5fd1d7e3f0,Victory Cup Battle Road Spring 2013 2nd Place Black and White Promos BW30 holo,2025-10-23 21:35:06.64+00,2025-10-23 21:35:06.103472+00
0c30621e-9f8c-459d-8faa-4823edc66278,Blastoise 2/132 Secret Wonders reverse holo,2025-11-17 03:09:10.25+00,2025-11-17 03:09:09.655471+00
0c6f78af-72a5-4da4-971a-a0414755e2d6,"Meganium ex ""106/115"" Unseen Forces holo",2025-12-27 15:19:51.344+00,2025-12-27 15:19:52.057395+00
0cd3fe04-9868-4e0e-8acd-c5870d7595d8,Primal Kyogre EX Alpha 149 Full Art 149/160 Primal Clash holo,2025-10-31 02:44:46.975+00,2025-10-31 02:44:47.557205+00
0cf1d6de-e8f5-476c-a963-c37673fe80a3,Mewtwo LV.X 144/146 Legends Awakened holo,2025-10-31 03:18:14.974+00,2025-10-31 03:18:15.308361+00
0d935871-912d-47e3-846d-a9bef2be61ca,"Magneton ""009/102"" Base Set (Shadowless)",2026-02-06 12:51:12.656+00,2026-02-06 12:51:10.749281+00
0e1c54ab-4350-41eb-bdd1-1cd739f19b96,Landorus EX 144 Full Art 144/149 Boundaries Crossed holo,2025-10-31 13:32:57.316+00,2025-10-31 13:32:56.979258+00
0ed655e8-df27-41b8-97e4-7f35b2a8ddee,Salamence Delta Species 14/113 Delta Species reverse holo,2025-11-23 05:21:00.609+00,2025-11-23 05:20:59.625472+00
0f487039-1453-4966-a92c-6f7ca68180e5,Banette GX Secret 174/168 Celestial Storm holo,2025-10-31 12:01:39.049+00,2025-10-31 12:01:38.960867+00
0f65ca4c-b5e6-4a97-a342-6e570bdda908,Wash Rotom Rising Rivals RT5 reverse holo,2026-03-10 15:49:05.115+00,2026-03-10 15:49:04.633606+00
0f9dfa66-ceed-4370-a14d-442774ab49a8,Milotic Shiny Supreme Victors SH7 reverse holo,2025-12-27 15:55:35.926+00,2025-12-27 15:55:36.341826+00
0feb501f-16bc-40e9-b29e-eea68d20531f,Detective Pikachu  SM Promos SM170 holo,2025-10-29 17:54:27.754+00,2025-10-29 17:54:28.555882+00
102e7ed5-4a4f-4544-9ff6-e28438d49bbb,Teammates 160 Full Art 160/160 Primal Clash holo,2025-10-31 12:10:38.815+00,2025-10-31 12:10:38.693912+00
10b36102-67ec-4fec-9023-200bc2c07b69,Rayquaza 20/95 Call of Legends reverse holo,2025-10-30 14:47:28.391+00,2025-10-30 14:47:28.229644+00
11045b21-bf16-40d5-b450-4b83a3ba0d21,"Magcargo ex ""95/97"" Dragon holo",2025-12-06 00:11:53.693+00,2025-12-06 00:11:50.462384+00
1227ba65-6b0f-446f-b15b-e506cffec4f9,"Raichu & Alolan Raichu GX Secret ""241/236"" Unified Minds holo",2026-02-27 19:04:59.038+00,2026-02-27 19:04:52.03137+00
12389144-584d-4e0b-905d-cfebc3e36fa9,Wooper Delta Species 71/101 Dragon Frontiers reverse holo,2025-10-30 15:16:29.844+00,2025-10-30 15:16:29.2297+00
125cd751-ee57-4491-a04e-db02951d6c07,Charizard Celebrations Metal Card,2025-10-24 02:05:52.619+00,2025-10-24 02:05:51.648423+00
144f74bc-9227-4dfd-afea-49058afa9fab,Beedrill Delta Species 1/113 Delta Species reverse holo,2025-10-30 15:43:02.918+00,2025-10-30 15:43:02.06194+00
145bf71f-aa51-4b29-af23-f699c3262fd9,Misdreavus 11/64 Neo Revelation,2025-10-31 12:39:46.042+00,2025-10-31 12:39:45.933668+00
14797b82-98d9-43e5-882d-724b2116b618,Garchomp C Lv.X Supreme Victors 145 holo,2025-10-31 01:53:44.118+00,2025-10-31 01:53:44.650487+00
14d2ef3f-e853-4203-a911-18deefb6e365,Champions Festival World Championships 2018 SM Promos SM148,2025-10-30 15:45:40.832+00,2025-10-30 15:45:40.019962+00
14e29867-ebb9-472c-b1fe-d14e5e5819ab,Arceus LV.X  Diamond and Pearl Promos DP53 holo,2025-10-31 12:08:26.215+00,2025-10-31 12:08:25.995012+00
1538d54a-d5f4-410b-8c06-d03e05d6aafe,Paradise Resort World Championships 2024 Scarlet & Violet Promo Cards 150,2025-12-12 03:34:46.853+00,2025-12-12 03:34:46.17556+00
1607ff82-2002-447e-b8e5-cc23df04d139,Radiant Heatran 027/189 Prize Pack Series Cards holo,2025-10-31 13:06:01.003+00,2025-10-31 13:06:00.80753+00
1649c7f9-49f7-4966-8f97-a986353269a6,"Raichu Delta Species ""15/110"" Holon Phantoms reverse holo",2026-03-10 11:30:47.984+00,2026-03-10 11:30:48.10885+00
16cbde2a-bc43-4518-91e9-a071a1ebd723,Ursaring Prime 89/95 Unleashed holo,2025-10-31 03:02:44.955+00,2025-10-31 03:02:45.431005+00
17a03267-4a4b-4762-a2ca-b1739ba708a4,Dialga LV.X  Diamond and Pearl Promos DP17 holo,2025-10-31 02:30:23.397+00,2025-10-31 02:30:23.926284+00
17cd398b-1626-4e2a-82a1-78edf0c11aab,Champions Festival World Championships 2017 SM Promos SM78,2025-10-23 03:11:34.984+00,2025-10-23 03:11:33.829773+00
18600fbf-4b04-4527-a7bb-53841c0d8bd6,Steelix Prime 87/95 Unleashed holo,2025-10-31 02:27:26.835+00,2025-10-31 02:27:27.357077+00
18ab8ae0-6db0-4e44-8316-01d9614881b4,Croconaw 074/165 Expedition reverse holo,2025-10-31 13:21:38.319+00,2025-10-31 13:21:38.044499+00
18fed248-292e-41f5-9818-8afd4add5e48,"Shedinja ""14/107"" Deoxys reverse holo",2025-12-15 03:36:31.293+00,2025-12-15 03:36:22.939477+00
196a737e-e417-4bd7-a9eb-59ff205929fd,Crobat Delta Species 2/113 Delta Species reverse holo,2025-10-29 13:25:51.794+00,2025-10-29 13:25:52.8738+00
19ecb501-e3e9-4492-b02c-c9e979802c5b,"Tyranitar 29 ""029/165"" Expedition reverse holo",2025-12-01 02:38:02.464+00,2025-12-01 02:38:00.675668+00
1a68aefb-9f83-449e-b464-fded5b4ea5ce,Champions Festival 2015 Staff XY Promos XY91,2025-10-23 03:10:27.718+00,2025-10-23 03:10:26.790028+00
1b7619cb-d2b7-44dd-9524-c0c2bf7b07fb,Pikachu on the Ball Pokemon Futsal,2025-10-30 13:01:46.029+00,2025-10-30 13:01:45.401817+00
1bc6ced0-5cbe-4c2f-8552-8454680e82e6,M Swampert EX XY Promos XY87 holo,2025-10-31 13:01:06.798+00,2025-10-31 13:01:06.512136+00
1bdc7bed-d822-41f9-9f03-7a212f1008fc,"Dusclops ""7/107"" Deoxys reverse holo",2026-03-10 16:32:46.215+00,2026-03-10 16:32:45.654958+00
1c1cd91e-47d9-46d6-a740-1ffef7237024,Radiant Alakazam 059/195 Prize Pack Series Cards holo,2025-10-31 02:53:40.351+00,2025-10-31 02:53:40.837016+00
1c3c5946-0ac4-4016-9af1-e595ee7432fb,Zapdos ex 116/112 FireRed & LeafGreen holo,2025-10-31 13:20:29.548+00,2025-10-31 13:20:29.221007+00
1cc04930-950e-4219-9e82-b9d7875f097c,Suicune 53/53 WoTC Promo,2025-10-31 13:44:06.182+00,2025-10-31 13:44:05.825135+00
1daf92d9-37b4-4f1a-a805-649bdafd3542,Teal Mask Ogerpon Twilight Masquerade Stamp,2025-10-29 13:56:20.775+00,2025-10-29 13:56:21.996655+00
1db20c7d-89b7-4563-b182-6d96873af7ad,Charmander GameStop Exclusive,2025-10-29 15:50:59.836+00,2025-10-29 15:51:01.055582+00
1e11bfd5-f6fe-4753-81a1-7fc65196c7b5,Giratina LV.X  Diamond and Pearl Promos DP38 holo,2025-11-16 05:09:41.827+00,2025-11-16 05:09:42.102659+00
1e95493a-4942-430c-9da9-c0d3021c01bc,"Mew EX 120 Full Art ""120/124"" Dragons Exalted holo",2025-12-12 03:37:26.543+00,2025-12-12 03:37:26.03665+00
1ecf4683-f6c9-4cfb-82db-d0bd31f02e5a,Koraidon European Promo,2025-10-29 19:01:34.067+00,2025-10-29 19:01:34.732027+00
1fe6befa-e340-4edf-a08a-1a14da239f0c,Chansey ex 96/109 Ruby and Sapphire holo,2025-10-30 13:12:21.553+00,2025-10-30 13:12:20.925182+00
1ff928d1-55e4-4719-868a-66187de9110e,"Umbreon ""22/95"" Call of Legends reverse holo",2026-03-09 15:25:06.628+00,2026-03-09 15:25:07.212526+00
20a596ae-5ffd-4a39-ae06-69bdd1c3ff75,Gengar 5/92 Legend Maker reverse holo,2025-10-31 13:10:05.585+00,2025-10-31 13:10:05.381712+00
20c47da8-bcc2-496e-9c0b-5cd0e561d4bc,Claydol ex 93/108 Power Keepers holo,2025-10-31 12:00:45.121+00,2025-10-31 12:00:44.929658+00
217a7b1d-6b7c-4e90-9778-cca37a20379b,Mew Trainer's Challenge Set Nintendo Promos 040 holo,2026-02-05 20:24:14.345+00,2026-02-05 20:24:13.439657+00
2197fbb7-c24c-444e-85d5-a1a8d475b542,Blaziken FB Lv.X Supreme Victors 142 holo,2025-10-31 13:41:25.394+00,2025-10-31 13:41:25.12784+00
21d9facb-2b1a-437d-afe3-c13cde1550bb,Gengar V 156/264 Prize Pack Series Cards holo,2025-11-07 19:43:58.736+00,2025-11-07 19:43:58.034392+00
22534aa9-61d1-43f1-b540-82d6c59ceff0,"Houndoom ""5/90"" Undaunted reverse holo",2025-11-30 22:56:42.261+00,2025-11-30 22:56:40.95909+00
255b1c91-1c98-4621-8e6c-dfa166e94e9b,Zapdos  Supreme Victors 150 holo,2025-12-27 16:29:30.594+00,2025-12-27 16:29:31.05413+00
266fa707-2ef4-4f13-b124-2a503b560d2d,Unown K K/28 Unseen Forces holo,2025-10-31 12:08:04.328+00,2025-10-31 12:08:04.201643+00
2731dcd4-1a0b-4200-a984-e1330a23182c,"Absol ex ""92/108"" Power Keepers holo",2025-12-27 16:25:40.265+00,2025-12-27 16:25:41.042681+00
27b17b44-e567-4b66-bfc6-666c8249b8df,Leafeon 7 7/100 Majestic Dawn reverse holo,2025-10-31 13:01:07.878+00,2025-10-31 13:01:07.582717+00
27cd5ba7-fdb5-44f7-b4dc-344ec49addea,Snorlax Prerelease Sword & Shield Promo Cards SWSH068 holo,2025-10-29 13:06:34.676+00,2025-10-29 13:06:35.843379+00
28f26ac4-b022-47d1-9a48-fec35c8f753a,Giratina Team Plasma Black and White Promos BW74 holo,2025-12-12 04:27:13.459+00,2025-12-12 04:27:12.751478+00
2933b12a-8396-4901-8d37-4d28038c3d80,Pikachu Jungle Pikachu World Collection Promos 60,2025-10-31 12:01:40.149+00,2025-10-31 12:01:39.94659+00
299c1d0b-8432-44c7-bbf6-d423d5a3e7f5,Dark Weezing 42/109 Team Rocket Returns reverse holo,2025-10-31 13:20:28.267+00,2025-10-31 13:20:28.017206+00
2a49eb7a-5ac7-4211-a099-c6ba1c592949,M Charizard EX X Secret 108/106 Flashfire holo,2025-11-21 19:46:50.225+00,2025-11-21 19:46:49.923064+00
2b0c2570-8bdd-41bc-b1b7-62ce221795c8,"Zapdos ex ""116/112"" FireRed & LeafGreen holo",2025-12-12 03:49:03.529+00,2025-12-12 03:49:03.418769+00
2b2e544b-b779-4b23-ac4c-1f06a2c78cf0,Random Receiver 138/135 Plasma Storm holo,2025-10-30 13:20:31.536+00,2025-10-30 13:20:31.00565+00
2b7cbac9-1598-4081-8cea-b7d4aad1a7c0,Infernape LV.X  Diamond and Pearl Promos DP10 holo,2025-10-30 13:14:51.014+00,2025-10-30 13:14:50.615827+00
2bc91a8e-9eb6-4db9-b7ea-5c22153513bb,Garchomp C LV.X  Diamond and Pearl Promos DP46 holo,2025-10-31 02:49:20.121+00,2025-10-31 02:49:20.660626+00
2d112263-4914-43da-aecd-d5d82da37cd3,Duraludon EB Games Exclusive Miscellaneous Cards & Products SWSH028 holo,2025-10-23 20:42:45.402+00,2025-10-23 20:42:44.743869+00
2d30dedc-75c0-4f97-960d-b1a400cf27e3,Suicune 14 14/64 Neo Revelation,2025-10-31 13:33:01.854+00,2025-10-31 13:33:01.523304+00
2e009931-e304-4003-ae15-89ffb623383c,Tyranitar ex Delta Species 99/101 Dragon Frontiers holo,2025-10-23 21:32:34.055+00,2025-10-23 21:32:33.417261+00
2e7c72db-bf99-4e43-9ed6-99ebe1a4d55b,"Pikachu ""124/165"" Expedition reverse holo",2026-03-10 20:02:33.029+00,2026-03-10 20:02:33.830595+00
2e92956e-6ef0-458c-95e7-c7a4e37cdc5a,"Venusaur ""3/108"" Dark Explorers reverse holo",2025-11-30 23:28:41.49+00,2025-11-30 23:28:40.1844+00
2ecfa4ba-1391-4b70-bde9-a9be63ea20de,Ho Oh 27/115 Unseen Forces reverse holo,2025-10-31 02:51:01.974+00,2025-10-31 02:51:02.399201+00
304d622f-1af1-47b2-83f0-e8bf3d3c30f4,"Darkrai G ""3/111"" Rising Rivals reverse holo",2026-02-05 19:55:08.573+00,2026-02-05 19:55:07.289176+00
3200ec9f-5987-4033-a4a3-b8cd73791cfd,Mewtwo Rumble 9 holo,2026-03-10 00:44:22.137+00,2026-03-10 00:44:17.654769+00
32967a3b-592f-49f2-9e35-79e0db5c8f2d,Regigigas LV.X 100/100 Stormfront holo,2025-10-31 12:07:23.635+00,2025-10-31 12:07:23.431245+00
32a4bf0e-2051-42fe-b7e5-f0bc4a4fdc69,Blastoise 13/95 Unleashed reverse holo,2025-10-31 03:13:50.743+00,2025-10-31 03:13:51.228463+00
3450caa9-9088-4e04-b430-96012087ee54,Latias Delta Species 8/113 Delta Species reverse holo,2025-11-23 05:26:06.232+00,2025-11-23 05:26:05.354149+00
34745853-71d7-4a25-8c58-7ba7686b8a55,Magikarp 118/165 Expedition reverse holo,2025-10-31 13:12:16.694+00,2025-10-31 13:12:16.385204+00
34ab516b-832d-4748-a852-a459bb6eba0e,Dark Arbok W Stamped 19/82 WoTC Promo,2025-10-31 02:53:41.95+00,2025-10-31 02:53:42.332575+00
3551657d-effb-424e-8fb9-33b3bd3fd0a9,"Slugma ""77/109"" Team Rocket Returns reverse holo",2025-12-07 05:57:34.663+00,2025-12-07 05:57:35.846691+00
35a023bd-7a25-45aa-9b62-c47eb79d569c,Rare Candy 88/100 Sandstorm reverse holo,2025-10-30 15:07:49.361+00,2025-10-30 15:07:48.67295+00
35bcb4bc-2845-49ff-b47b-b8bf8725f01b,Articuno GX Secret 171/168 Celestial Storm holo,2025-10-31 13:41:24.311+00,2025-10-31 13:41:24.016774+00
35c4affe-459f-47aa-9fa3-3139a3a90516,Zacian V 138/202 Prize Pack Series Cards holo,2025-11-08 19:03:02.667+00,2025-11-08 19:03:01.250036+00
360f4525-4865-469e-b841-6dfa1439a39d,"Victreebel H30 ""H30/H32"" Aquapolis holo",2026-03-10 11:38:03.447+00,2026-03-10 11:38:03.722703+00
3615f315-1173-4318-83f5-ce5aa4229f04,Iron Thorns Pokemon Center Scarlet & Violet Promo Cards 098 holo,2025-12-27 15:30:29.578+00,2025-12-27 15:30:30.045193+00
36290f19-2c2b-4f30-81af-763b63a6f323,Flareon E4 60/111 Rising Rivals reverse holo,2025-10-29 19:43:54.203+00,2025-10-29 19:43:54.867815+00
379475f4-f20d-4de9-b1b0-c2189ad6681d,"Arcanine ""1/111"" Rising Rivals reverse holo",2025-12-07 05:58:02.068+00,2025-12-07 05:58:03.255203+00
37ef771c-031c-43a9-9c3a-70e73e130578,"Gengar ""18/100"" Stormfront reverse holo",2026-02-05 19:52:57.862+00,2026-02-05 19:52:56.514934+00
38969ebb-d16d-43f9-9b15-69fc074d72d7,Pikachu Delta Species Value Pack Nintendo Promos 035 holo,2026-02-05 16:00:13.302+00,2026-02-05 16:00:12.463345+00
38a47f50-888f-4a33-9de5-0565b88d53fd,Venusaur 28/100 Crystal Guardians reverse holo,2025-11-29 01:26:49.466+00,2025-11-29 01:26:49.096467+00
38bc22fa-4e5a-4c3f-b969-db65e6deb77a,Dragonite EB Games Exclusive,2025-10-24 02:58:03.078+00,2025-10-24 02:58:01.979964+00
391c19e2-8c5d-415d-b8d3-7b803174d312,Groudon EX 106 Full Art 106/108 Dark Explorers holo,2025-10-30 20:12:04.743+00,2025-10-30 20:12:04.966053+00
3a4a919a-95d1-4401-a61d-0da4ec8a0d0f,Nidoking Delta Species 6/101 Dragon Frontiers reverse holo,2025-10-31 03:15:59.349+00,2025-10-31 03:15:59.784989+00
3ae3bdbc-544a-4b62-a7bd-729dc56200d1,Darkrai GX Secret 158/147 Burning Shadows holo,2025-10-31 11:58:23.449+00,2025-10-31 11:58:23.239577+00
3ae621cf-dc2e-42fb-9cda-b8f9cb85dc8e,"Reshiram EX 95 Full Art ""95/99"" Next Destinies holo",2025-11-30 21:51:05.122+00,2025-11-30 21:51:04.612801+00
3b260fec-800a-4eb8-b65d-0724fe4fc62b,"Machamp ""9/92"" Legend Maker reverse holo",2025-11-30 23:04:10.421+00,2025-11-30 23:04:09.37899+00
3b85de88-4852-4d5a-83a8-4244fa056a17,Ancient Mew Miscellaneous Cards & Products 1 holo,2026-03-09 17:36:45.293+00,2026-03-09 17:36:45.788842+00
3bea264a-3f0c-45a9-b3f2-96704576dbe6,"Rocket's Wobbuffet ""47/109"" Team Rocket Returns reverse holo",2026-02-06 16:04:08.52+00,2026-02-06 16:04:06.291385+00
3c93e4c8-74a6-459a-b57b-a1b14e13f6e0,Uxie 43/146 Legends Awakened reverse holo,2025-10-31 12:03:40.052+00,2025-10-31 12:03:40.022687+00
3c9ecb73-4209-44ba-a024-72635690e0e9,"Azumarill ""114/113"" Delta Species holo",2026-03-09 18:21:39.878+00,2026-03-09 18:21:40.429754+00
